solver,N,deadline_s,completed
PRISM-CPU,1000,0.1,1
PRISM-CPU,1000,0.5,1
PRISM-CPU,1000,1.0,1
PRISM-CPU,1000,5.0,1
PRISM-CPU,1000,10.0,1
PRISM-CPU,1000,30.0,1
PRISM-CPU,1000,300.0,1
PRISM-CPU,5000,0.1,0
PRISM-CPU,5000,0.5,0
PRISM-CPU,5000,1.0,0
PRISM-CPU,5000,5.0,1
PRISM-CPU,5000,10.0,1
PRISM-CPU,5000,30.0,1
PRISM-CPU,5000,300.0,1
PRISM-CPU,10000,0.1,0
PRISM-CPU,10000,0.5,1
PRISM-CPU,10000,1.0,1
PRISM-CPU,10000,5.0,1
PRISM-CPU,10000,10.0,1
PRISM-CPU,10000,30.0,1
PRISM-CPU,10000,300.0,1
PRISM-CPU,100004,0.1,0
PRISM-CPU,100004,0.5,0
PRISM-CPU,100004,1.0,0
PRISM-CPU,100004,5.0,1
PRISM-CPU,100004,10.0,1
PRISM-CPU,100004,30.0,1
PRISM-CPU,100004,300.0,1
PRISM-GPU,1000,0.1,1
PRISM-GPU,1000,0.5,1
PRISM-GPU,1000,1.0,1
PRISM-GPU,1000,5.0,1
PRISM-GPU,1000,10.0,1
PRISM-GPU,1000,30.0,1
PRISM-GPU,1000,300.0,1
PRISM-GPU,5000,0.1,0
PRISM-GPU,5000,0.5,1
PRISM-GPU,5000,1.0,1
PRISM-GPU,5000,5.0,1
PRISM-GPU,5000,10.0,1
PRISM-GPU,5000,30.0,1
PRISM-GPU,5000,300.0,1
PRISM-GPU,10000,0.1,0
PRISM-GPU,10000,0.5,1
PRISM-GPU,10000,1.0,1
PRISM-GPU,10000,5.0,1
PRISM-GPU,10000,10.0,1
PRISM-GPU,10000,30.0,1
PRISM-GPU,10000,300.0,1
PRISM-GPU,100004,0.1,0
PRISM-GPU,100004,0.5,0
PRISM-GPU,100004,1.0,0
PRISM-GPU,100004,5.0,0
PRISM-GPU,100004,10.0,1
PRISM-GPU,100004,30.0,1
PRISM-GPU,100004,300.0,1
OSQP,1000,0.1,0
OSQP,1000,0.5,1
OSQP,1000,1.0,1
OSQP,1000,5.0,1
OSQP,1000,10.0,1
OSQP,1000,30.0,1
OSQP,1000,300.0,1
OSQP,5000,0.1,0
OSQP,5000,0.5,0
OSQP,5000,1.0,0
OSQP,5000,5.0,0
OSQP,5000,10.0,0
OSQP,5000,30.0,0
OSQP,5000,300.0,0
OSQP,10000,0.1,0
OSQP,10000,0.5,0
OSQP,10000,1.0,0
OSQP,10000,5.0,0
OSQP,10000,10.0,0
OSQP,10000,30.0,0
OSQP,10000,300.0,0
OSQP,100004,0.1,0
OSQP,100004,0.5,0
OSQP,100004,1.0,0
OSQP,100004,5.0,0
OSQP,100004,10.0,0
OSQP,100004,30.0,0
OSQP,100004,300.0,0
