scenario,solver,wall_ms,status,feasible,objective
S1,OSQP,69.2,optimal,True,-0.04187743222533299
S1,Clarabel,39.33,optimal,True,-0.0418774333979773
S1,SCS,54.59,optimal,True,-0.04187743255705324
S1,PRISM-CPU,7.72,converged,True,-0.041877432225451657
S1,PRISM-GPU,257.86,converged,True,-0.04187743222428591
S2,OSQP,79.93,optimal,True,-0.02748755109840569
S2,Clarabel,24.34,optimal,True,-0.027487551463659377
S2,SCS,30.83,optimal,True,-0.02748755179431001
S2,PRISM-CPU,7.1,converged,True,-0.027487551097647743
S2,PRISM-GPU,258.22,converged,True,-0.02748755109871761
S3,OSQP,73.39,optimal,True,-0.05762184973366233
S3,Clarabel,26.57,optimal,True,-0.05762184977124565
S3,SCS,31.49,optimal,True,-0.05762180095831425
S3,PRISM-CPU,6.04,converged,True,-0.057621849733603514
S3,PRISM-GPU,256.08,converged,True,-0.057621849733445724
S4,OSQP,87.2,in_budget 22/25,,
S4,Clarabel,28.5,in_budget 25/25,,
S4,SCS,36.8,in_budget 24/25,,
S4,PRISM-CPU,7.4,in_budget 25/25,,
S4,PRISM-GPU,316.5,in_budget 19/25,,
S5,OSQP,87.1,total 45.34s; 195/200,,
S5,Clarabel,27.4,total 5.57s; 200/200,,
S5,SCS,38.4,total 9.27s; 175/200,,
S5,PRISM-CPU,6.6,total 1.81s; 200/200,,
S5,PRISM-GPU,282.7,total 74.69s; 200/200,,
S6,CVXPortfolio 1.5.1,1857.2,completed,,
S7-N1924,Clarabel,483.7,optimal,True,-0.04324771049517961
S7-N1924,OSQP,796.7,optimal,True,-0.04324771007737166
S7-N1924,PRISM-CPU,58.0,converged,True,-0.043247710071457626
S7-N1924,PRISM-GPU,1116.0,converged,True,-0.043247710078473806
S7-N4810,Clarabel,2670.3,optimal,True,-0.07865395832903735
S7-N4810,OSQP,5747.1,optimal,True,-0.07865395138146535
S7-N4810,PRISM-CPU,51.6,converged,True,-0.07865395137886501
S7-N4810,PRISM-GPU,652.0,converged,True,-0.07865395137886501
S7-N9620,Clarabel,12526.5,optimal,True,-0.10663307733127686
S7-N9620,OSQP,25358.9,optimal,True,-0.1066330610332882
S7-N9620,PRISM-CPU,98.9,converged,True,-0.10663306103930571
S7-N9620,PRISM-GPU,776.3,converged,True,-0.10663306102968542
S7-N24050,Clarabel,198261.9,optimal,True,-0.1281461291747186
S7-N24050,OSQP,145046.7,optimal,True,-0.1281461272190968
S7-N24050,PRISM-CPU,3050.1,max_iter,True,-0.1281461257804368
S7-N24050,PRISM-GPU,3058.7,max_iter,True,-0.1281461257804368
S7-N48100,Clarabel,20269.8,optimal,True,-0.12758600498682626
S7-N48100,OSQP,489514.2,optimal,True,-0.12758599375531848
S7-N48100,PRISM-CPU,2523.5,max_iter,True,-0.12758598702245386
S7-N48100,PRISM-GPU,2938.6,max_iter,True,-0.12758598702245386
S7-N96200,PRISM-CPU,5678.0,max_iter,True,-0.13036435842183358
S7-N96200,PRISM-GPU,3329.1,max_iter,True,-0.13036435842183355
S5b-N4810,Clarabel,895.1,total 44.69s; 50/50,,
S5b-N4810,OSQP,8037.6,total 457.55s; 50/50,,
S5b-N4810,PRISM-CPU,147.3,total 7.51s; 50/50,,
S5b-N4810,PRISM-GPU,2050.0,total 105.64s; 50/50,,
S7-N192400,PRISM-CPU,14844.4,max_iter,True,-0.13048140122674548
S7-N192400,PRISM-GPU,3506.6,max_iter,True,-0.13048140122674548
S7-N384800,PRISM-CPU,33415.6,max_iter,True,-0.13029791447450104
S7-N384800,PRISM-GPU,3795.1,max_iter,True,-0.13029791447450104
